session,trapID,Latitude,Longitude,x,y,UTM Zone,start_date,end_date,effort,Topography,Altitude,Water,Note,Issue
1,Camera8,81.53307,30.23653,3345115,551291,44R,17/12/2022,13/03/2023,86,Cliff,3978,1,Functional,"Swapped x,y"
1,Camera&11,30.201988,81.4504,543352,3341253,44R,20/12/2022,07/02/2023,49,Cliff,4061,0,Functional,trapID punctuation
1,      Camera14,30.16731,81.38865,537422,3337389,44R,21/12/2022,16/03/2023,85,Cliff,3959,0,Functional,trapID leading space
1,Camera12,30.18575,81.4323,541617,3339447,44R,1312/2022,16/03/2023,93,Cliff,4079,0,Functional,date format
1,TPC48,30.25107,81.74866,572025,3346844,44R,10.12.2022,01/06/2023,173,"Cliff, Valley floor",4549,1,Functional,date format
1,TPC 38,29.97843,81.5182,549990,3316508,44R,30/12/2022,14/04/2023,105,Hill slope,4132,1,Functional,trapID internal whitespace
1,TPC23,29.98457,81.59782,557668,3317226,44R,29/12/2022,12/03/2023,73,Hill slope,3963,0,Functional,
1,TPC20,30.07531,81.47713,545984,3327226,44R,07/11/2022,18/12/2022,41,"Hill slope, Ridgeline",4412,0,Functional,
1,TPC7,30.08709,81.36383,535060,3328492,44R,12/11/2022,17/04/2023,156,Hill slope,3902,0,Functional,
1,TPC11,30.11167,81.46037,544352,3331249,44R,09/11/2022,19/04/2023,161,"Cliff, Ridgeline",4139,0,Functional,
1,TPC32,30.1023,81.51213,549343,3330232,44R,08/11/2022,15/04/2023,158,"Cliff, Scree/Boulder",4122,0,Functional,
1,TPC25,30.08775,81.53186,551252,3328628,44R,14/11/2022,16/04/2023,153,Cliff,3160,1,Functional,
1,Camera1,30.28309,81.69942,567266,3350361,44R,11/12/2022,16/03/2023,95,Cliff,4356,0,Functional,
1,NRCID296,30.23312,81.60427,558144,3344772,44R,19/12/2022,02/06/2023,165,Hill slope,4614,0,Functional,
1,TPC9,30.25424,81.70212,567545,3347166,44R,09/12/2022,31/05/2023,173,Ridgeline,4576,1,Functional,
1,TPC3,30.21601,81.48615,546786,3342821,44R,18/12/2022,22/03/2023,94,Ridgeline,3927,1,Functional,
1,Camera5,30.2508,81.590415,556801,3346724,44R,14/12/2022,03/06/2023,171,"Ridgeline, Hill slope",4609,0,Functional,
1,TPC19,30.11449,81.6068,558458,3331627,44R,30/10/2022,02/02/2023,95,Hill slope,4326,0,Functional,
1,TPC41,30.148557,81.35813,534489,3335301,44R,23/12/2022,20/04/2023,118,Cliff,4120,0,Functional,
1,Camera10,30.2144,81.46558,544808,3342635,44R,19/12/2022,06/06/2023,169,Cliff,3931,0,Functional,
1,CAM106,30.36567,81.6582,563249,3359489,44R,2023/29/05,2023/29/06,31,"Cliff, Stream bed",4792,1,Functional,date format
1,TPC16,30.06745,81.5163,549763,3326372,44R,06/11/2022,29/11/2022,23,"Ridgeline, Cliff",4120,0,Functional,
1,NRCID300,30.2483,81.65577,563090,3346481,44R,17/12/2022,15/04/2023,119,"Valley floor, stream bed",4167,1,Functional,
1,Camera2,30.29383,81.72695,569906,3351569,44R,11/12/2022,23/05/2023,163,Very broken,4403,1,Functional,
1,Camera13,30.17173,81.41617,540070,3337888,44R,21/12/2022,,,Cliff,3943,1,Lost,zero effort
1,TPC10,30.21423,81.71384,568701,3342740,44R,08/12/2022,10/12/2022,2,Scree/boulders,4703,1,Functional,
1,TPC28,30.21426,81.70646,567990,3342738,44R,08/12/2022,,,Cliff,4542,1,Malfunction,zero effort
1,TPC30,30.2639,81.77913,574947,3348285,44R,10/12/2022,,,Cliff,4686,0,Malfunction,zero effort
1,Camera3,30.28567,81.66045,563516,3350625,44R,12/12/2022,18/12/2022,6,Cliff,4574,1,Functional,
1,Camera4,30.24737,81.6421,561776,3346371,44R,13/12/2022,01/05/2023,139,Scree/boulders,4367,0,Functional,
1,TPC21,29.97792,81.54094,552184,3316462,44R,30/12/2022,01/01/2023,2,Cliff,4040,0,Functional,
1,TPC1,30.01225,81.61418,559230,3320302,44R,28/12/2022,,,Ridgeland,4050,0,Lost,zero effort
1,TPC37,29.98896,81.50527,548738,3317670,44R,30/12/2022,17/04/2023,108,Cliff,4742,1,Functional,
1,Camera9,30.2433,81.43623,541971,3345826,44R,19/12/2022,17/03/2023,88,"Valley floor, stream bed",4351,1,Functional,
1,Camera7,30.2588,81.48906,547046,3347564,44R,16/12/2022,11/03/2023,85,Valley floor,4588,1,Functional,
1,TPC5,30.05262,81.79483,576620,3324882,44R,07/01/2023,22/01/2023,15,Cliff,4295,0,Functional,
1,TPC33,30.1411,81.71807,569159,3334638,44R,07/12/2022,,,Cliff,4443,0,Lost,zero effort
1,TPC29,30.11177,81.67932,565446,3331365,44R,06/12/2022,09/12/2022,3,"Hillslope, valley floor",4273,1,Functional,
1,TPC2,30.02688,81.57243,555195,3321902,44R,02/11/2022,22/03/2023,140,Hillslope,4360,0,Functional,
1,TPC18,30.07387,81.76087,573331,3327215,44R,03/10/2022,19/01/2023,108,Ridgeline,4688,0,Functional,
1,TPC8,30.0915,81.7203,569408,3329143,44R,04/10/2022,31/12/2022,88,cliff,4843,1,Functional,
1,TPC14,30.0969,81.74014,571316,3329754,44R,04/10/2022,12/06/2023,251,Ridgeline,4830,0,Functional,
1,TPC31,30.0796,81.37824,536451,3327666,44R,13/11/2022,18/12/2022,35,"Cliff, Valley Floor",3831,1,Functional,
1,TPC26,30.05121,81.55289,553298,3324589,44R,04/11/2022,31/12/2022,57,"Ridgeline,cliff",4007,0,Functional,
1,TPC22,30.06995,81.38132,536752,3326598,44R,13/11/2022,18/04/2023,156,"Valley Floor, Scree/boulders",3967,1,Functional,
1,TPC12,30.12767,81.40722,539225,3333002,44R,10/11/2022,21/04/2023,162,"Hill-slope, Scree/boulders",4225,1,Functional,
1,TPC34,30.10593,81.40282,538810,3330592,44R,11/11/2022,13/11/2022,2,Scree/boulders,4236,0,Functional,
1,TPC15,30.08203,81.57755,555658,3328016,44R,16/11/2022,18/11/2022,2,Cliff,4267,0,Functional,
1,TPC13,30.12348,81.44299,542673,3332551,44R,09/11/2022,11/11/2022,2,Hill-slope,4508,0,Functional,
1,TPC24,30.08331,81.63448,561144,3328187,44R,29/10/2022,10/11/2022,12,Scree/boulders,4242,0,Functional,
1,TPC36,30.13804,81.63705,561357,3334253,44R,30/10/2022,02/11/2022,3,"Valley floor, stream bed",4238,1,Functional,
1,CAM101,30.33706,81.63259,560805,3356305,44R,27/05/2023,01/07/2023,35,Scree/boulders,4847,0,Functional,
1,CAM102,30.30415,81.58759,556499,3352635,44R,27/05/2023,24/06/2023,28,Valley floor,4772,1,Functional,
1,CAM103,30.35576,81.55817,553642,3358340,44R,28/05/2023,27/06/2023,30,Valley floor,4911,1,Functional,
1,CAM104,30.373841,81.589994,556690,3360359,44R,28/05/2023,28/06/2023,31,Valley floor,5045,0,Functional,
1,CAM105,30.37927,81.6451,561981,3360989,44R,29/05/2023,29/06/2023,31,Stream bed,4838,1,Functional,
1,CAM107,30.32723,81.6985,567147,3355253,44R,29/05/2023,,,Cliff,4648,0,Malfunction,zero effort
1,CAM108,30.36064,81.70298,567555,3358958,44R,30/05/2023,30/06/2023,31,Valley floor,4793,0,Functional,
1,CAM109,30.36866,81.7425,571347,3359871,44R,30/05/2023,30/06/2023,31,Valley floor,4949,1,Functional,
1,CAM110,30.37882,81.7174,568928,3360981,44R,30/05/2023,30/06/2023,31,Cliff,4936,1,Functional,
1,Camera6,30.24022,81.55778,553667,3345536,44R,24/12/2022,07/03/2023,73,Hill-slope,4116,0,Functional,